Unnamed: 0.1,Unnamed: 0,disease,doctors,time
0,0,Fungal infection,"Dr. Rajeev Soman - Lilavati Hospital, Mumbai",9:00 AM - 10:00 AM
1,1,Fungal infection,"Dr. Ramesh Sawant - KEM Hospital, Mumbai",10:00 AM - 11:00 AM
2,2,Fungal infection,"Dr. Geeta Oberoi - Jaslok Hospital, Mumbai",11:00 AM - 12:00 PM
3,3,Allergy,"Dr. M. V. Jayaraman - Apollo Hospitals, Chennai",12:00 PM - 1:00 PM
4,4,Allergy,"Dr. P. K. Vedanthan - Fortis Hospitals, Bengaluru",1:00 PM - 2:00 PM
5,5,Allergy,"Dr. Arun Kumar - AIIMS, New Delhi",2:00 PM - 3:00 PM
6,6,GERD,"Dr. G. R. Verma - Medanta Hospital, Gurugram",3:00 PM - 4:00 PM
7,7,GERD,"Dr. Ramesh Sharma - Max Super Speciality Hospital, Delhi",4:00 PM - 5:00 PM
8,8,GERD,"Dr. Sushmita Mukherjee - Narayana Health City, Bengaluru",9:00 AM - 10:00 AM
9,9,Chronic cholestasis,"Dr. Sanjay Goja - Max Hospital, Delhi",10:00 AM - 11:00 AM
10,10,Chronic cholestasis,"Dr. Raman Dhawan - Apollo Hospitals, Delhi",11:00 AM - 12:00 PM
11,11,Chronic cholestasis,"Dr. Anshu Srivastava - Artemis Hospital, Gurugram",12:00 PM - 1:00 PM
12,12,Drug Reaction,"Dr. R. K. Sharma - Fortis Hospital, Bengaluru",1:00 PM - 2:00 PM
13,13,Drug Reaction,"Dr. S. K. Singh - AIIMS, New Delhi",2:00 PM - 3:00 PM
14,14,Drug Reaction,"Dr. Ravi Kumar - Medanta Hospital, Gurugram",3:00 PM - 4:00 PM
15,15,Peptic ulcer disease,"Dr. Preeti Kulkarni - Jaslok Hospital, Mumbai",4:00 PM - 5:00 PM
16,16,Peptic ulcer disease,"Dr. Anil Arora - Apollo Hospitals, Hyderabad",9:00 AM - 10:00 AM
17,17,Peptic ulcer disease,"Dr. Shweta Gupta - Fortis Memorial Research Institute, Gurugram",10:00 AM - 11:00 AM
18,18,AIDS,"Dr. Suniti Solomon - YRG CARE, Chennai",11:00 AM - 12:00 PM
19,19,AIDS,"Dr. Anupam Roy - Apollo Hospitals, Kolkata",12:00 PM - 1:00 PM
20,20,AIDS,"Dr. Anil Kumar - AIIMS, New Delhi",1:00 PM - 2:00 PM
21,21,Diabetes,"Dr. Mohan Vamsi - Dr. Mohan's Diabetes Specialities Centre, Chennai",2:00 PM - 3:00 PM
22,22,Diabetes,"Dr. Pradeep Agarwal - Max Hospital, Delhi",3:00 PM - 4:00 PM
23,23,Diabetes,"Dr. Naveen Gupta - Apollo Hospitals, Bengaluru",4:00 PM - 5:00 PM
24,24,Gastroenteritis,"Dr. Govind Kulkarni - Columbia Asia Hospital, Pune",9:00 AM - 10:00 AM
25,25,Gastroenteritis,"Dr. P. N. Gupta - Indraprastha Apollo Hospital, Delhi",10:00 AM - 11:00 AM
26,26,Gastroenteritis,"Dr. Aditya Khurana - Global Hospitals, Mumbai",11:00 AM - 12:00 PM
27,27,Bronchial Asthma,"Dr. Sameer Arora - Sir Ganga Ram Hospital, Delhi",12:00 PM - 1:00 PM
28,28,Bronchial Asthma,"Dr. Rakesh Joshi - Nanavati Super Speciality Hospital, Mumbai",1:00 PM - 2:00 PM
29,29,Bronchial Asthma,"Dr. Nandini Gupta - Manipal Hospital, Bengaluru",2:00 PM - 3:00 PM
30,30,Hypertension,"Dr. Ramesh Babu - Manipal Hospital, Bengaluru",3:00 PM - 4:00 PM
31,31,Hypertension,"Dr. Anil Bansal - Apollo Hospitals, Hyderabad",4:00 PM - 5:00 PM
32,32,Hypertension,"Dr. Satish Gupta - AIIMS, New Delhi",9:00 AM - 10:00 AM
33,33,Migraine,"Dr. Gagan Priya - Indraprastha Apollo Hospital, Delhi",10:00 AM - 11:00 AM
34,34,Migraine,"Dr. Vikas Gupta - Apollo Hospitals, Chennai",11:00 AM - 12:00 PM
35,35,Migraine,"Dr. Neha Sharma - Fortis Hospital, Bengaluru",12:00 PM - 1:00 PM
36,36,Cervical spondylosis,"Dr. S. P. Mandal - AIIMS, New Delhi",1:00 PM - 2:00 PM
37,37,Cervical spondylosis,"Dr. N. K. Mishra - Fortis Hospital, Mumbai",2:00 PM - 3:00 PM
38,38,Cervical spondylosis,"Dr. Ravi Singh - Artemis Hospital, Gurugram",3:00 PM - 4:00 PM
39,39,Paralysis (brain hemorrhage),"Dr. Suresh Nair - Kokilaben Dhirubhai Ambani Hospital, Mumbai",4:00 PM - 5:00 PM
40,40,Paralysis (brain hemorrhage),"Dr. Rajesh Reddy - Apollo Hospitals, Hyderabad",9:00 AM - 10:00 AM
41,41,Paralysis (brain hemorrhage),"Dr. Amit Singh - Fortis Hospital, Noida",10:00 AM - 11:00 AM
42,42,Jaundice,"Dr. Sandeep Mishra - Apollo Hospitals, Hyderabad",11:00 AM - 12:00 PM
43,43,Jaundice,"Dr. S. S. Gupta - Max Super Speciality Hospital, Delhi",12:00 PM - 1:00 PM
44,44,Jaundice,"Dr. Sangeeta Choudhary - Fortis Hospital, Mumbai",1:00 PM - 2:00 PM
45,45,Malaria,"Dr. Sumit Singh - Fortis Hospital, Mumbai",2:00 PM - 3:00 PM
46,46,Malaria,"Dr. Rohit Jain - Apollo Hospitals, Bengaluru",3:00 PM - 4:00 PM
47,47,Malaria,"Dr. Sunil Singh - Jaslok Hospital, Mumbai",4:00 PM - 5:00 PM
48,48,Chicken pox,"Dr. Rakesh Sinha - Ruby Hall Clinic, Pune",9:00 AM - 10:00 AM
49,49,Chicken pox,"Dr. Vivek Khandelwal - Apollo Hospitals, Chennai",10:00 AM - 11:00 AM
50,50,Chicken pox,"Dr. Anand Sharma - Max Super Speciality Hospital, Delhi",11:00 AM - 12:00 PM
51,51,Dengue,"Dr. Sujit Chatterjee - AMRI Hospital, Kolkata",12:00 PM - 1:00 PM
52,52,Dengue,"Dr. Ramakrishna Prasad - Fortis Hospital, Bengaluru",1:00 PM - 2:00 PM
53,53,Dengue,"Dr. Rahul Sinha - Apollo Gleneagles Hospital, Kolkata",2:00 PM - 3:00 PM
54,54,Typhoid,"Dr. Vikram Singh - Max Super Specialty Hospital, Delhi",3:00 PM - 4:00 PM
55,55,Typhoid,"Dr. Shekhar Agarwal - Apollo Hospitals, Hyderabad",4:00 PM - 5:00 PM
